rx_0,ry_0,vx_0,vy_0,t,r_i,v_i,diff_r,diff_v
0.1,1.3000000000000003,-0.8,0.1,6087,[0.09957287 1.29435941],[-0.80117778  0.13042286],0.005656741032168534,0.030445654167557918
0.2,1.1,-0.9,0.30000000000000004,3699,[0.19868443 1.09281068],[-0.90353156  0.31510538],0.007308697498136037,0.015512722319410971
0.2,1.2000000000000002,-0.7000000000000001,0.1,3015,[0.19933094 1.19599331],[-0.68895584  0.18074752],0.004062170117909491,0.0814992992073365
0.2,1.3000000000000003,-0.8,0.1,6206,[0.20013514 1.30086228],[-0.7951486   0.12804884],0.0008728071064087021,0.028465306871386407
0.30000000000000004,0.30000000000000004,-1.0,0.7000000000000001,4929,[0.29746374 0.29749174],[-1.05042245  0.66350025],0.0035670699564256518,0.062246727459361384
0.30000000000000004,0.5,-1.0,0.7000000000000001,304,[0.29864935 0.49775149],[-0.98715483  0.73222368],0.00262298807296125,0.034689536673753935
0.30000000000000004,1.2000000000000002,-0.7000000000000001,0.6,1120,[0.29816066 1.19262261],[-0.70351824  0.60693752],0.00760322804899649,0.00777863798169591
0.30000000000000004,1.3000000000000003,-1.0,0.4,6556,[0.29954374 1.29802882],[-1.00185431  0.39914781],0.002023291958358924,0.0020407595727149697
0.4,0.7000000000000001,-0.7000000000000001,0.9,585,[0.39577192 0.69261886],[-0.70336761  0.91678508],0.00850634177215096,0.017119569613254185
0.4,0.9,-1.0,0.5,2856,[0.39948711 0.89884423],[-1.00027532  0.50291563],0.0012644568378311824,0.002928595497158713
0.4,1.0,-0.8,0.9,1614,[0.39853069 0.9963361 ],[-0.80348969  0.90194106],0.003947539744632325,0.003993201526381123
0.4,1.1,-1.0,0.9,5255,[0.399529   1.09869525],[-1.00172356  0.89958266],0.0013871578551647116,0.0017733694298874498
0.5,0.6,-1.0,0.7000000000000001,1250,[0.50131202 0.60158163],[-0.99358558  0.70272576],0.002054980490237382,0.006969541268642984
0.5,0.8,-0.7000000000000001,0.9,886,[0.49765398 0.79624616],[-0.70260944  0.90534781],0.0044266394248839895,0.005950480690012631
0.5,1.1,-0.9,0.4,1217,[0.50002711 1.10005405],[-0.89958409  0.40079701],6.0469569825647456e-05,0.0008990013190284495
0.5,1.2000000000000002,-0.7000000000000001,0.2,2662,[0.50235671 1.20566897],[-0.68322168  0.23146887],0.006139328850824226,0.035662329340648134
0.6,0.6,-1.0,0.7000000000000001,3930,[0.6064383  0.60643319],[-0.98605403  0.69592034],0.009101519170701967,0.014530440540732562
0.6,1.1,-0.7000000000000001,0.30000000000000004,2594,[0.60215817 1.103972  ],[-0.68248679  0.32644766],0.004520451922138546,0.031720516077684655
0.6,1.3000000000000003,-0.7000000000000001,0.2,4341,[0.60388223 1.30841362],[-0.68439508  0.22279778],0.00926610554188658,0.02762702068135419
0.6,1.3000000000000003,-0.7000000000000001,0.6,3289,[0.59825243 1.29622341],[-0.70165819  0.60257732],0.0041613280260421855,0.0030646698268462385
0.6,1.4000000000000001,-0.6000000000000001,0.4,2447,[0.5977464  1.39474698],[-0.59842635  0.4104564 ],0.005716026051709241,0.010574149053060878
0.7000000000000001,0.5,-0.9,0.9,1853,[0.70228322 0.50163204],[-0.89788375  0.89649102],0.0028065347376501682,0.004097738636741355
0.7000000000000001,1.1,-0.7000000000000001,0.7000000000000001,4571,[0.69752443 1.09611965],[-0.70212643  0.70303607],0.004602774423700991,0.003706671720539173
0.8,0.7000000000000001,-0.5000000000000001,0.5,1150,[0.80010799 0.70009281],[-0.43167759  0.55974827],0.00014239340866942332,0.09076236715242486
0.8,0.7000000000000001,-0.5000000000000001,0.6,2529,[0.79248751 0.69342463],[-0.43515134  0.66667299],0.009983636204361287,0.09300879406341821
0.8,0.7000000000000001,-0.5000000000000001,0.8,809,[0.79816866 0.6983915 ],[-0.49706414  0.80541835],0.0024374276893299068,0.006162612271492853
0.8,0.8,-0.5000000000000001,0.8,1879,[0.79572497 0.79571478],[-0.49767624  0.8093228 ],0.006053010695609575,0.009608045867983122
0.8,1.0,-0.5000000000000001,0.7000000000000001,2148,[0.79515055 0.99393805],[-0.49830851  0.71020167],0.007763017912624366,0.010340948878167657
0.8,1.2000000000000002,-0.7000000000000001,0.6,1677,[0.79957348 1.19935761],[-0.70017697  0.60061704],0.0007710950651995917,0.0006419153690941798
0.8,1.3000000000000003,-0.5000000000000001,0.30000000000000004,2979,[0.79801964 1.29679341],[-0.47079319  0.35025033],0.0037688237791077047,0.05812171121200547
0.9,0.30000000000000004,-0.30000000000000016,0.7000000000000001,488,[0.90209831 0.30070237],[-0.24711216  0.71579852],0.0022127459309312517,0.05519707406198641
